Serial_no,Date_of_Read,Author_of_book,Name_of_book,Year_Published,No_of_pages,Rating
772,01-08-1998,"A.S. Byatt","The Matisse Stories",1993,128,5
773,01-09-1998,"Giovanni Boccaccio","The Decameron",1350,296,0
774,01-09-1998,"Edward W. Said","Representations of the Intellectual",1993,132,3
775,01-09-1998,"Robert Graves","The Greek Myths: 1",1955,197,0
776,01-09-1998,"Peter and Linda Murray","The Art of the Renaissance",1963,278,1
777,01-09-1998,"Emmanuel Le Roy Ladurie","The Beggar and the Professor",1995,351,0
778,01-10-1998,"Richard Causton","The Buddha in Daily Life",1988,294,5
779,01-10-1998,"Mitch Albom","Tuesday with Morrie",1997,192,0
780,01-11-1998,"D.H. Lawrence","Sons and Lovers",1913,484,4
781,01-11-1998,"Alessandro Baricco",Silk,1997,91,1
782,01-11-1998,"Morris Goldstein","The Asian Financial Crisis: Causes, Cures, and Systemic Implications",1998,67,0
783,01-11-1998,"Jimmy Webb",Tunesmith,1998,423,1
784,01-12-1998,"Henry James","The Golden Bowl",1904,555,0
785,01-01-1999,"Jean Rhys",Quartet,1928,186,2
786,01-01-1999,"Edward W. Said","Covering Islam","1,981",195,5
787,01-01-1999,"Jorge Luis Borges","Other Inquisitions",1952,187,3
788,01-01-1999,"Bill Gates","The Road Ahead",1996,322,5
789,01-02-1999,"Arthur Golden","Memoirs of a Geisha",1997,428,0
790,01-03-1999,"Frank R. Wilson","The Hand",1998,338,4
791,01-04-1999,"Daniel DeFoe","A Tour Through the Whole Island of Great Britain",1724,708,4
792,01-04-1999,"Russell Banks",Cloudsplitter,1998,758,2
793,01-05-1999,"Robert Wright","The Moral Animal",1994,379,3
794,01-05-1999,"P.G. Wodehouse","French Leave",1956,206,3
795,01-06-1999,"Marcel Proust","The Past Recaptured",1922,272,3
796,01-06-1999,"John Hersey",Hiroshima,1946,152,4
797,01-06-1999,"John Stuart Mill","On Liberty",1859,187,5
798,01-07-1999,"Philip Roth","American Pastoral",1997,423,4
799,01-07-1999,"Dante Alighieri",Paridiso,1308,150,4
800,01-07-1999,"Jacob A. Riis","How The Other Half Lives",1890,227,5
801,01-08-1999,"Colin Bateman","Cycle of Violence",1995,261,4
802,01-08-1999,"Fernand Braudel","The Identity of France",1985,375,0
803,01-09-1999,"Sinclair Lewis","It Can't Happen Here",1935,331,4
804,01-09-1999,"Jason Goodwin","Lords of the Horizons - A History of the Ottoman Empire",1998,332,4
805,01-09-1999,"Marilyn Vos Savant","The World's Most Famous Math Problem",1993,76,0
806,01-09-1999,"Fred Goodman","The Mansion on the Hill",1997,387,0
807,01-10-1999,"Daisaku Ikeda","Toward a Culture of Peace: A Cosmic View",1999,38,2
808,01-10-1999,"Dan Kindlon, Michael Thompson","Raising Cain",1999,267,5
809,01-11-1999,"Dava Sobol",Longitude,1995,175,3
810,01-11-1999,"Søren Kierkegaard","Fear and Trembling",1843,147,3
811,01-12-1999,Sophocles,""Antigone"""",441bc,48,5
812,01-12-1999,"Bernie Brillstein","Where Did I Go Right?",1999,375,0
813,01-12-1999,"Richard Dawkins","The Selfish Gene",1976,266,0
814,01-01-2000,"A.J.P. Taylor","The Struggle for Mastery in Europe - 1848 - 1918",1954,586,3
815,01-01-2000,"Alfred Lansing","Endurance - Shackleton's Incredible Voyage",1959,280,2
816,01-02-2000,Euripides,""Andromache"""",425bc,47,1
817,01-03-2000,"Samuel Butler",Erewhon,1871,260,1
818,01-03-2000,"George Stephanopoulos","All Too Human",1999,448,5
819,01-04-2000,"Henry Fielding","Tom Jones",1749,822,1
820,01-04-2000,"John Rechy","City of Night",1963,380,2
821,01-05-2000,"Peter Gay","My German Question",1998,212,5
822,01-05-2000,"Zora Neale Hurston","Their Eyes Were Watching God",1937,199,3
823,01-05-2000,"Mark Twain","The Mysterious Stranger",1906,114,2
824,01-05-2000,"Jhumpa Lahiri","Interpreter of Maladies",1999,198,0
825,01-06-2000,"John Steinbeck","The Grapes of Wrath",1939,464,4
826,01-06-2000,"Michael Lewis","The New New Thing",2000,272,0
827,01-08-2000,"Jacques Barzun","From Dawn to Decadence",2000,802,3
828,01-08-2000,"Samuel Butler","Alps & Sanctuaries",1881,336,5
829,01-08-2000,"Alexander Dumas","The Three Musketeers",1844,592,4
830,01-09-2000,"Samuel Eliot Morison","Christopher Columbus, Mariner",1942,160,3
831,01-09-2000,"Madame de Lafayette","The Princess of Cleves",1677,288,0
832,01-10-2000,"Tom Wolfe","A Man in Full",1998,742,1
833,01-10-2000,"John Milton","Samson Agonistes ",1671,170,1
834,01-10-2000,"George Kubler","The Shape of Time",1962,136,0
835,01-11-2000,"Jakob Walter","The Diary of a Napoleonic Foot Soldier",1830,208,0
836,01-11-2000,Stendhal,Love,1819,336,0
837,01-12-2000,"Sir Harold Nicolson",Diplomacy,1939,151,4
838,01-12-2000,"William Hazlitt","Liber Amoris ",1823,112,3
839,01-12-2000,"Ida M. Tarbell","The History of the Standard Oil Company",1903,200,3
840,01-01-2001,"Adolph Hitler","Mein Kampf ",1926,384,5
841,01-01-2001,"Honore de Balzac","The Physiology of Marriage",1824,358,1
842,01-01-2001,"Saul Bellow","Henderson the Rain King",1958,341,5
843,01-01-2001,"Dorothy L. Sayers","The Mind of the Maker",1941,229,5
844,01-02-2001,"Christine Hobson","The World of the Pharoahs",1987,255,5
845,01-03-2001,"Horatio Alger, Jr.","Ragged Dick ",1868,120,5
846,01-03-2001,"Henry Kissinger","A World Restored",1957,535,3
847,01-04-2001,"Honore de Balzac","The Chouans ",1827,238,5
848,01-04-2001,"Tom King","The Operator ",2000,690,4
849,01-05-2001,"Lord Byron","The Selected Letters of Lord Byron",1798,276,5
850,01-06-2001,"Jean-Jacques Rousseau","La Nouvelle Heloise",1758,728,0
851,01-06-2001,"Walter Bagehot","Physics and Politics",1872,100,1
852,01-07-2001,"Dan O'Brien","The Rites of Autumn",1988,192,5
853,01-08-2001,"Michael E. Porter, Hirotaka Takeuchi, Mariko Sakakibara","Can Japan Compete?",2000,224,0
854,01-08-2001,"Sarah Faunce",Courbet,1993,245,4
855,01-09-2001,"Virginia Woolf","The Waves ",1931,297,0
856,01-10-2001,"Peter Paret","Understanding War ",1992,252,5
857,01-10-2001,"P. G. Wodehouse","Jeeves in the Morning",1946,272,5
858,01-11-2001,"Theodore Dreiser","Sister Carrie ",1900,557,3
859,01-12-2001,"Benjamin R. Barber","Jihad vs. McWorld",1995,432,5
860,01-12-2001,"J.K. Rowling","Harry Potter and the Sorcerer's Stone",1997,223,4
861,01-12-2001,"Stephen Hawking","The Universe in a Nutshell",2001,216,3
862,01-12-2001,"Artie Shaw","The Trouble with Cinderella",1952,432,5
863,01-01-2002,"Paramahansa Yogananda","Autobiography of a Yogi",1946,576,4
864,01-02-2002,"Bernard Lewis","What Went Wrong?",2002,208,3
865,01-03-2002,"Elizabeth Gaskell","Wives and Daughters",1866,679,2
866,01-04-2002,"Upton Sinclair","The Jungle ",1905,413,0
867,01-04-2002,"Eugene F. Rice, Jr.","The Foundations of Early Modern Europe, 1460-1569",1994,218,2
868,01-04-2002,"Margaret A. Salinger","Dream Catcher ",2000,464,5
869,01-06-2002,"Henry David Thoreau","Selected Journals of Henry David Thoreau",1862,64,0
870,01-08-2002,"Jean Rhys","Sleep It Off Lady",1976,176,5
871,01-08-2002,Plutarch,"Fall of the Roman Republic",90,414,2
872,01-09-2002,"C.S. Forester","Hornblower and Hotspur",1962,400,5
873,01-09-2002,"W.H. Lewis","The Splendid Century",1953,306,3
874,01-09-2002,"Robert Hughes","The Fatal Shore",1986,688,1
875,01-09-2002,"Noam Chomsky","Profit Over People",1999,166,0
876,01-10-2002,"Henry George","Progress and Poverty",1879,598,3
877,01-10-2002,"David Krieger, Daisaku Ikeda","Choose Hope ",2001,238,0
878,01-11-2002,"Malcolm Lowry","Under the Volcano",1947,423,5
879,01-12-2002,"Doris Lessing","The Good Terrorist",1985,400,5
880,01-12-2002,"Viktor E. Frankl","Man's Search for Meaning",1959,165,5
881,01-12-2002,"Harold Nicolson","Good Behavior",1955,409,3
882,01-01-2003,"Lucien Febvr, Henri-Jean Martin","Good Behavior",1958,360,1
883,01-02-2003,"Arthure Levitt","Take on the Street",2002,352,1
884,01-02-2003,"Charles Bukowski","Post Office",1971,208,2
885,01-03-2003,"Jose Saramago","The Cove ",2002,307,0
886,01-04-2003,"Susan Mollin Okin","Women in Western Political Thought",1979,442,3
887,01-04-2003,"DBC Pierre","Veron God Little",2003,288,5
888,01-05-2003,"Mary Renault","The Persian Boy",1972,419,2
889,01-05-2003,"Charles Bukowski",Hollywood,1989,319,0
890,01-05-2003,"John Lowden","Early Christian & Byzantine Art",1997,448,2
891,01-06-2003,"Natalie Angier","Woman - An Intimate Geography",1999,464,0
892,01-07-2003,"Gregory Bishop of Tours","History of the Franks",584,720,2
893,01-07-2003,"Paul Berman","Terror and Liberalism",2003,240,4
894,01-07-2003,"Mary McCarthy","The Groves of Academe",1951,312,5
895,01-07-2003,"Henry Kissinger","Does America Need a Foreign Policy",2001,352,0
896,01-07-2003,"James Lord","A Giacometti Portrait",1965,128,4
897,01-07-2003,"Karen Armstrong",Budda,2001,240,1
898,01-08-2003,"Karen Armstrong",Islam,2000,230,2
899,01-10-2003,"George Eliot","Adam Bede",1859,624,2
900,01-11-2003,"Daisaku Ikeda, Majid Tehranian","Global Civilization - A Buddist Islanic Dialogue",2003,224,3
901,01-11-2003,"Graham Greenauthor","The Third Man",1950,157,3
902,01-01-2004,"Robert A. Caro","The Years of Lyndon Johnson - Master of the Senate",2002,1232,3
903,01-01-2004,"Horace Mann","The Republic and the School",1848,112,4
904,01-01-2004,"Edmund S. Morgan","Benjamin Franklin",2002,352,4
905,01-02-2004,"Claude Mettra",Bruegel,1977,45,1
906,01-02-2004,"J. M. Coetzee","Waiting for the Barbarians",1980,152,4
907,01-02-2004,"Dan Brown","The Da Vinci Code",2003,489,1
908,01-02-2004,"Gustave Flaubert","Memoirs of a Madman",1837,86,3
910,01-03-2004,"Tacey Chevalier","Girl With a Pearl Earing",1999,233,5
911,01-04-2004,"Harold Bloom","The Western Canon",1994,546,0
912,01-05-2004,"Walter Pater","The Renaissance",1873,208,5
913,01-05-2004,"William Pollack","Real Boys",1998,480,3
914,01-05-2004,Aesop,"The Complete Fables",550bc,352,4
915,01-06-2004,Juvenal,"The Satires",130,252,5
916,01-06-2004,"Groucho Marx","Love Groucho",1955,272,2
917,01-07-2004,"G.K. Chesterton","The Man Who Was Thursday",1908,182,4
918,01-08-2004,"John Kennedy Toole","A Confederacy of Dunces",1963,394,3
919,01-08-2004,"Harold Mattingly","Roman Imperial Civilization",1957,332,3
920,01-08-2004,"Molly Hughes","A London Girl of the 1880's",1946,245,4
921,01-09-2004,"Nick Hornby","How To Be Good",2001,305,0
922,01-09-2004,"John Bunyan","The Pilgrim's Progress",1684,324,4
923,01-09-2004,"Bill Moyers","Moyers on America",2004,256,5
924,01-09-2004,"Walt Whitman","Specimen Days",1865,228,5
925,01-09-2004,"Paulo Coelho","Eleven Minutes",2004,273,4
926,01-10-2004,"John Boswell","Christianity, Social Torerance and Homosexuality",1980,424,5
927,27-06-1905,"Lawrence Potter","The Persian Gulf in Transition ",1997,336,4
928,27-06-1905,"Immanuel Kant","Perpetual Peace ",1795,160,5
929,27-06-1905,"Bob Dylan","Chronicles, vol. 1 ",2004,320,3
930,27-06-1905,"Arthur Koestler","The Gladiators ",1949,44,1
931,27-06-1905,"Richard L. Bushman","From Puritan to Yankee ",1967,352,5
932,27-06-1905,"Arnold Toynbee","A Study of History, vols I-VI ",1939,576,1
933,27-06-1905,"Bill McKibben","The End of Nature ",1989,195,1
934,27-06-1905,"Craig Unger","House of Bush, House of Saudi ",2004,384,3
935,27-06-1905,"Tim LaHaye, Jerry B. Jenkins","Glorious Appearing ",2004,399,1
936,27-06-1905,"Laurens Van der Post","A Story Like the Wind ",1972,384,1
937,27-06-1905,"Marilynne Robinson",Gilead,2004,247,2
938,27-06-1905,"Thomas Carlyle","The French Revolution ",1837,848,1
939,27-06-1905,"Dalton Trumbo","Johnny Got His Gun",1939,309,0
940,27-06-1905,"Claude-Anne Lopez","Mon Cher Papa, Franklin and the Ladies of Paris ",1966,404,3
941,27-06-1905,"Maureen Dowd",Bushworld,2004,523,3
942,27-06-1905,"Anton Chekhov","My Life ",1886,150,1
943,27-06-1905,"J.R. Hale","Renaissance Europe ",1971,352,4
944,27-06-1905,"E.M. Forster","A Passage to India ",1924,376,3
945,27-06-1905,"Robert F. Kennedy, Jr.","Crimes Against Nature ",2004,288,0
946,27-06-1905,"Jane Leavy","Sandy Koufax ",2003,336,1
947,27-06-1905,"David McCullough",1776,2005,386,3
948,01-07-2005,"Frank Norris","The Octopus ",1900,688,4
949,01-07-2005,"Ann Rinaldi","Hang a Thousand Trees with Ribbons ",1996,352,0
950,01-07-2005,"Herman Melville","Bartleby the Scrivener ",1853,64,4
951,01-07-2005,Various,"Chapters in Western Civilization vol II ",1962,534,2
952,01-08-2005,"Tim De Lisle","Lives of the Great Songs ",1994,240,0
953,01-08-2005,"Laurence Bergreen","As Thousands Cheer - The Life of Irving Berlin ",1990,702,5
954,01-09-2005,"Anthony Trollope","The Way We Live Now ",1873,776,0
955,01-09-2005,"Steve Martin",Shopgirl,2000,130,4
956,01-09-2005,"Emile Zola","The Debacle ",1870,170,3
957,01-10-2005,"Kenneth Henshall","A History of Japan ",1999,264,4
958,01-11-2005,"Edmund Morris","The Rise of Theodore Roosevelt ",1979,816,2
959,01-11-2005,"Henry Adams","The Education of Henry Adams ",1907,320,5
960,01-11-2005,"Sonny Barger","Freedom: Credos from the Road ",2005,224,4
961,01-11-2006,"Nathanael West","The Day of the Locust ",1939,208,1
962,01-11-2005,"Ford Maddox Ford","The Good Soldier ",1915,368,5
963,01-11-2005,"Mary Wollstonecraft","A Vindication of the Rights of Woman ",1792,269,1
964,01-12-2005,"Edith Wharton","The Age of Innocence ",1920,293,0
965,01-01-2006,"W. Somerset Maugham","Of Human Bondage ",1915,684,0
966,28-06-1905,"Doris Kearns Goodwin","Team of Rivals",2005,916,4
967,28-06-1905,"Tony Judt",Postwar,2005,933,4
968,28-06-1905,"Geoff Emerick","Here, There, and Everywhere ",2006,400,3
969,28-06-1905,"Wallace Stegner","Angle of Repose ",1971,569,0
970,28-06-1905,"David Dalton","James Dean, The Mutant King ",1974,384,2
971,28-06-1905,"V.S. Naipaul","India: A Wounded Civilisation ",1976,176,5
972,28-06-1905,"Carlo Collodi","The Adventures of Pinocchio ",1881,96,5
973,28-06-1905,"D. H. Lawrence","Women in Love ",1916,416,4
974,28-06-1905,"Henri Pirenne","Economic and Social History of Medieval Europe ",1936,264,2
975,28-06-1905,"A. H. Maslow","The Farther Reaches of Human Nature ",1971,432,5
976,28-06-1905,"Charles Dickens","Our Mutual Friend ",1865,801,0
977,28-06-1905,"Vladimir Nabokov","Speak Memory ",1947,255,2
978,28-06-1905,"Hermann Hesee","Steppenwolf ",1927,256,1
979,01-09-2006,"David S. Brown","Richard Hofstadter. An Intellectual Biography",2006,320,5
980,01-09-2006,"Robert Penn Warren","All the King's Men",1946,439,3
981,01-09-2006,"Michel DeMontaigne","On Friendship",1580,115,3
982,01-10-2006,"Danny Danzinger & John Gillingham","1215 The Year of Magna Carta",2003,312,1
983,01-10-2006,"Jim Harrison","Legends of the Fall",1978,276,1
984,01-11-2006,"Jared Diamond","Collapse - How Societies Choose to Fail Or Succeed",2005,608,5
985,01-11-2006,"Fareed Zakaria","The Future of Freedom",2003,295,2
986,01-11-2006,"J.P. Donleavy","The Ginger Man",1955,347,3
987,01-11-2006,"John Irving","My Movie Business",1999,222,3
988,01-12-2006,"William Shakespeare","All's Well That Ends Well",1602,282,3
989,01-12-2006,"Graham Greene","The Quiet American",1955,180,2
990,01-12-2006,"Quintus Curtius Rufus","The History of Alexander",44,352,0
991,01-12-2006,"Oliver Wendell Holmes","The Autocrat of the Breakfast Table",1858,604,5
992,01-01-2007,"Iris Murdoch","Jackson's Dilemma",1995,256,1
993,01-02-2007,"Jonathan Franzen","The Corrections",2001,653,4
994,29-06-1905,"George W.S. Trow","My Pilgrim's Progress",1999,288,2
995,29-06-1905,"Heinrich Fichtenau","The Carolingian Empire",1957,196,5
996,29-06-1905,"Jill Hamilton","God, Guns and Israel",2004,352,2
997,29-06-1905,"Sir Thomas More","The History of King Richard III",1557,120,4
998,29-06-1905,"Jean-Jacques Rousseau","The Confessions",1781,672,0
999,29-06-1905,"Nathaniel Hawthorne","The Marble Faun",1860,432,0
1000,29-06-1905,"Isaiah Berlin","Russian Thinkers",1978,336,0
1001,29-06-1905,"Cecily von Ziegesar","Don't You Forget About Me",2007,275,4
1002,29-06-1905,"Ian McEwan","On Chesil Beach",2007,166,3
1003,29-06-1905,"Jonathan Lethem","Motherless Brooklyn",1999,311,3
1004,29-06-1905,"Erich Fromm","The Essential Fromm",1976,144,2
1005,29-06-1905,"José Saramago","The Gospel According to Jesus Christ",1991,377,3
1006,29-06-1905,"Brigitte L. Nacos","Mass-Mediated Terrorism",2007,253,2
1007,29-06-1905,"Joan Didion","The Year of Magical Thinking",2005,227,3
1008,29-06-1905,"Samuel Beckett","Waiting for Godot",1954,109,1
1009,29-06-1905,"Leonardo da Vinci",Prophecies,1519,112,5
1010,29-06-1905,"Donald Capps","The Depleted Self",1993,196,1
1011,29-06-1905,"Jean Rhys","Tigers are Better Looking",1927,220,3
1012,29-06-1905,"Reinhold Niebuhr","Leaves from the Notebook of a Tamed Cynic",1928,152,3
1013,29-06-1905,"John J. Jackson, Jr.",Harlemworld,2001,299,2
1014,29-06-1905,"Edmund Burke","A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful",1757,208,0
1015,29-06-1905,"Octavio Paz","The Labyrinth of Solitude",1961,398,5
1016,29-06-1905,"V.S. Naipaul","A Bend in the River",1979,326,2
1017,29-06-1905,"Linda Lawrence Hunt","Bold Spirit- Helga Estby's Forgotten Walk Across Victorian America",2003,336,2
1018,29-06-1905,"Fyodor Dostoevsky","The Gambler",1866,160,5
1019,29-06-1905,"Aleksandr Solzhenitsyn","Nobel Lecture",1972,69,4
1020,29-06-1905,"Kenneth Seeskin","Maimonides: A Guide for Today's Perplexed",1991,142,5
1021,29-06-1905,"Booth Tarkington","The Magnificent Ambersons",1918,288,1
1022,30-06-1905,"Jane Jacobs","The Death and Life of Great American Cities",1961,472,4
1023,30-06-1905,"Al Gore","The Assault on Reason",2007,273,4
1024,30-06-1905,"Raymond Carver",Fires,1984,208,5
1025,30-06-1905,"Nassim Nicholas Taleb","The Black Swan",2007,366,5
1026,30-06-1905,"Peter Forbath","The Last Hero",1988,729,4
1027,30-06-1905,"Francis Bacon","The Essays",1625,288,0
1028,30-06-1905,"Rose Tremain",Restoration,1989,371,2
1029,30-06-1905,"Lord Macaulay","The History of England",1849,60,4
1030,30-06-1905,"Marguerite Duras","The Lover",1985,117,0
1031,30-06-1905,"Olivier Blanc","Last Letters - Prisons & Prisoners of the French Revolution 1793-94",1987,250,0
1032,30-06-1905,"Thomas Hobbes","Human Nature",1640,344,3
1033,30-06-1905,"John Perkins","Confessions of an Economic Hit Man",2004,303,3
1034,30-06-1905,"Edward W. Said",Orientalism,1978,396,2
1035,30-06-1905,"Rory Stewart","The Places in Between",2004,299,1
1036,30-06-1905,"Evelyn Waugh","A Handful of Dust",1934,308,1
1037,30-06-1905,"John Lewis Gaddis","The Cold War",2005,352,0
1038,30-06-1905,"Muriel Spark","The Girls of Slender Means",1963,140,0
1039,30-06-1905,"Vali Nasr","The Shia Revival",2006,314,5
1040,30-06-1905,"John Lukacs","Blood, Toil, Tears and Sweat",2008,240,3
1041,30-06-1905,"William Boyd",Restless,2006,336,3
1042,30-06-1905,"Dennis McDouglas","Five Easy Decades",2008,484,0
1043,30-06-1905,"Thomas Wolfe","Of Time and the River",1935,896,1
1044,30-06-1905,"Simon Winchester","The Professor and the Madman",1998,242,3
1045,30-06-1905,"Henry Roth","Call It Sleep",1934,462,1
1046,30-06-1905,"Junot Diaz","The Brief Wondrous Life of Oscar Wao",2007,335,3
1047,30-06-1905,"Andrew J. Bacevich","The Limits of Power",2008,206,4
1048,30-06-1905,"Ken Kesey","Some Times a Great Notion",1964,640,0
1049,30-06-1905,"D.H. Lawrence","Lady Chatterley's Lover",1928,376,4
1050,30-06-1905,"Paul Tillich","The Courage to Be",1952,200,1
1051,30-06-1905,"Samuel Beckett",Murphy,1938,288,1
1052,30-06-1905,"Elizabeth Gaskell",Cranford,1853,257,1
1053,30-06-1905,"Edmund White","Rimbaud - The Double Life of a Rebel",2008,192,3
1054,30-06-1905,"Fernand Braudel","The Perspective of the World",1979,699,0
1055,30-06-1905,"Elizabeth Bowen","The Death of the Heart",1938,418,3
1056,01-01-2009,"Henri Troyat",Tolstoy,1965,896,1
1057,01-01-2009,"Jimmy Carter","Palestine, Peace Not Apartheid",2006,288,2
1058,01-02-2009,"Tom Shachtman","Skyscraper Dreams",1991,380,5
1059,01-02-2009,"George Berkeley","Principles of Human Knowledge",1710,80,5
1060,01-02-2009,"Walter Bagehot","The English Constitution",1867,256,0
1061,01-03-2009,"Fareed Zakaria","The Post-American World",2008,292,5
1062,01-04-2009,"Mikhail Sholokhov","And Quiet Flows the Don",1928,1408,2
1063,01-04-2009,"Jonathan Weiner","The Beak of the Finch",1994,332,3
1064,01-04-2009,"Lao Tzu","Hua Hu Ching",600bc,106,5
1065,01-05-2009,"Ray Kurzweil","The Singularity Is Near",2005,652,3
1066,01-05-2009,"Robert Louis Stevenson","Treasure Island",1883,311,1
1067,01-05-2009,"Khaled Hosseini","The Kite Runner",2003,371,0
1068,01-05-2009,"Amos Oz","Rhyming Life & Death",2007,128,3
1069,01-06-2009,"W. Somerset Maugham","The Moon and Sixpence",1919,215,1
1070,01-07-2009,Cicero,"On the Good Life",60bc,384,3
1071,01-07-2009,"Zadie Smith","On Beauty",2005,445,0
1072,01-07-2009,"Carrie Fisher","Wishful Drinking",2008,163,5
1073,01-08-2009,"Charles Grodin","How I Got to Be Whoever It is I Am",2009,272,2
1074,01-08-2009,"Edna O'Brien","Byron in Love",2009,228,5
1075,01-08-2009,"Christopher Isherwood","The Last of Mr. Norris",1935,187,4
1076,01-08-2009,"Christopher Isherwood","Goodbye to Berlin",1945,208,1
1077,01-08-2009,"E.M. Forster","Alexandria - A History",1918,192,4
1078,01-08-2009,"Samuel Richardson",Pamela,1740,592,3
1079,01-09-2009,"John Cleland","Fanny Hill",1749,224,5
1080,01-09-2009,"Daniel Defoe",Roxanna,1724,356,5
1081,01-09-2009,"Giambattista Vico","New Science",1725,521,2
1082,01-09-2009,"Nora Ephron","I Feel Bad About My Neck",2006,137,2
1083,01-11-2009,"Jacob Burckhardt","The Civilization of the Renaissance in Italy",1857,400,4
1084,01-10-2009,"Ivan Goncharov",Oblomov,1859,586,0
1085,01-11-2009,"Adam Phillips","Darwin’s Worms",1999,160,0
1086,01-11-2009,"D.A.F. Marquis deSade",Justine,1787,784,1
1087,01-11-2009,"Raymond Postgate","Story of a Year 1848",1956,286,2
1088,01-11-2009,"Oliver Goldsmith","Essays on Miscellaneous Subjects; with an Inquiry Into the Present State of Polite Learning",1774,180,0
1089,01-11-2009,"Paul Ryscavage","Income InEquality in America",1999,242,0
1090,01-12-2009,"Jack London","The SeaWolf",1903,227,2
1091,01-12-2009,"Akira Iriye","The Origins of the Second World War in Asia and the Pacific",1987,214,2
1092,01-12-2009,"Jacques Barzun","Race: A Study in Superstition",1937,100,3
1093,01-12-2009,"George Orwell","Why I Write",1946,120,0
1094,01-12-2009,"Jonathan Swift","A Collection of Genteel and Ingenious Conversation",1754,224,3
1095,01-01-2010,"Andrew Ross Sorkin","Too Big To Fail",2009,600,3
1096,01-01-2010,"Dashielle Hammett","Red Harvest",1929,224,4
1097,01-02-2010,"Christopher Caldwell","Reflections on the Revolution in Europe",2009,432,3
1098,01-02-2010,Polybius,"The Rise of the Roman Empire",130,576,0
1099,01-03-2010,"Emile Zola","The Drinking Den",1877,480,5
1100,01-03-2010,"Michael Howard","War in European History",1976,176,4
1101,01-03-2010,"John Heileman, Mark Halperin","Game Change",2010,448,3
1102,01-03-2010,"W.Somerset Maughan","Cakes and Ale",1930,308,2
1103,01-03-2010,Sophocles,"Oedipus at Colonus",410bc,144,4
1104,01-03-2010,"Jules Feiffer","Backing Into Forward",2011,440,2
1105,01-04-2010,"Hermann Hesse","The Journey to the East",1959,128,3
1106,01-04-2010,"Richard Wright","Native Son",1940,504,4
1107,01-05-2010,"James Moore",Gurdjieff,1991,416,3
1108,01-06-2010,"Gregory David Roberts",Shantaram,2003,936,3
1109,01-06-2010,"David A. Andelman","A Shattered Peace",2008,336,3
1110,01-06-2010,"Stieg Larsson","The Girl With The Dragon Tattoo",2004,480,1
1111,01-06-2010,"Billy Collins","Sailing Alone Around The Room",1998,172,0
1112,01-07-2010,"Charlotte Joko Beck","Nothing Special",1993,278,1
1113,01-07-2010,"Paulo Coelho","The Alchemist",1988,192,5
1114,01-07-2010,"Wilkie Collins","The Woman in White",1860,672,4
1115,01-08-2010,"Kathryn Stockett","The Help",2009,464,3
1116,01-09-2010,"Ron Chernow","The House of Morgan",1990,812,5
1117,01-10-2010,"Doug Glanville","The Game From Where I Stand",2010,276,0
1118,01-10-2010,"Norman Doidge, M.D.","The Brain That Changes Itself",2007,447,5
1119,01-11-2010,"Louis D. Brandeis","Other People’s Money and How Bankers Use It",1913,168,0
1120,01-11-2010,"Jonathan Franzen","How To Be Alone",2002,306,5
1121,01-11-2010,"Ravi Ravindra","Heart Without Measure",1999,219,1
1122,01-12-2010,"Agatha Christie","Murder On The Orient Express",1934,274,1
1123,01-12-2010,"Wilkie Collins","Rambles Beyond Railways",1852,195,3
1124,01-01-2011,"Martin Cruz Smith","Gorky Park",1981,433,4
1125,01-02-2011,"James Miller","Examined Lives",2011,432,0
1126,01-02-2011,"Thomas Mann","Doctor Faustus",1947,535,4
1127,01-02-2011,"Luigi Pirandello","One, No One & One Hundred Thousand",1926,160,5
1128,01-03-2011,"Roderick Frazier Nash","Wilderness & The American Mind",1967,432,3
1129,01-03-2011,"Sinclair Lewis","Main Street",1920,560,4
1130,01-04-2011,"John Muir","A Thousand-Mile Walk to The Gulf",1867,272,5
1131,01-04-2011,"Brian Thomas Swimme & Mary Evelyn Tucker","Journey of the Universe",2011,192,0
1132,01-04-2011,"Robert Mighall","Poetic Lives: Keats",2009,160,3
1133,01-04-2011,"David Edwards","John Keats A Beginner’s Guide",2002,87,0
1134,01-04-2011,"Victor Bockris","Keith Richards The Biography",2003,471,1
1135,01-05-2011,"Daniel Defoe","Moll Flanders",1722,339,3
1136,01-05-2011,"Michael Soussan","Backstabbing For Beginners",2008,332,5
1137,01-05-2011,"Friedrich Nietzsche","Beyond Good and Evil",1886,240,4
1138,01-06-2011,"Willa Cather","The Song of The Lark",1915,417,2
1139,01-06-2011,"Honore de Balzac","The Vendetta",1830,124,5
1140,01-06-2011,"Sara Maitland","A Book of Silence",2008,309,5
1141,01-07-2011,Stendhal,"Memoirs of An Egotist",1832,144,2
1142,01-07-2011,"Hugh Trevor-Roper","History and The Enlightenment",2010,352,5
1143,01-07-2011,"Emile Zola","For a Night of Love, Nantas, Fasting",1876,100,3
1144,01-08-2011,"Yann Martel","Life of Pi",2001,401,1
1145,01-08-2011,"Don Piper with Cecil Murphy","Ninety Minutes in Heaven",2004,207,1
1146,01-09-2011,"Sandro Veronesi","Quiet Chaos",2005,432,3
1147,01-09-2011,"Charles Dickens","Sketches By Boz",1836,635,1
1148,01-10-2011,"Noel Coward","Present Indicative: An Autobiography",1937,352,4
1149,01-10-2011,"David Browne","Fire and Rain",2011,369,3
